rank,is_eligible,ineligible_reason,name,max_commission,max_mev_commission,validator_age,total_credits_M,identity
161,true,"","Sanctum",0,0,99,200.529365,"LSTQqqvdXqt5HxdX6s6DFS1ryM7jgk14a6BFMKhPAJp"
162,true,"","Backpack",0,0,96,200.714418,"bkpk9KVsDRfrArzzmkJ9mPEvbXfQxczzQYR3QMGiR8Z"
163,true,"","Lifetime_0_fee_full_ME",0,0,93,200.560637,"ALPHA6rdHZkx1om79xp47vX1iZXcbM3qfEwLyttZ1T7R"
164,true,"","NO_NAME",0,0,93,199.469788,"BfgMdL4FaNHp5zZpD7WMYG5sZUrCWQPEjXDwWS7M5q3F"
165,true,"","NO_NAME",0,0,92,200.638186,"CHED86J97RCtt8HxhNxvUSQWPqFsiftNpWWQd9HZvqvw"
166,true,"","SOLMECH",0,0,91,142.188452,"FUNDTXgtnkfuhK6G6JUi5CzxPWeZNF9n96vFuBNGFy1v"
167,true,"","Lazy_Llama",0,0,90,200.692653,"FJN8ryNvkm3QAQufsjJmJ9eGPpK1D8hG4MawATqZfFhx"
168,true,"","NO_NAME",0,0,89,200.71405,"MargusHP4dQyxrBuCWngzJp6EZSvg1aPNxdgpXykfr4"
169,true,"","LUNA_",0,0,87,200.724869,"LUNAYGRv5DGye5jvwTy1SQnJr6jfzA1WaFLJ527WMqj"
170,true,"","BMW_",0,0,87,200.724806,"BMW2PUr7yweA54zC5CoBnjWqNFwL8W9vHUvYvb7cPbLN"
171,true,"","NO_NAME",0,0,86,200.698088,"GoLd56YQz8nJQnCsPFw8g5hcxrNaQBvCfAgbtwYFLbd"
172,true,"","Onchain_Divers",0,0,85,200.723385,"DiveRaPKviyDnQyiiMFdV4rujsCBJzMNvPjKfvGNLGvL"
173,true,"","AKKURIA",0,0,82,200.725235,"5S1vPAd2MRJ9WyLAK8mfLQ2Jz43oQHX5pFGVkAyaxLb7"
174,true,"","CyberCore_",0,0,82,200.72397,"6jMprKjLwc2ezd6VLmkUvGUZExEpnsUsjtK9Yd9Jb4xW"
175,true,"","StakeMachine_",0,0,82,200.723932,"FmaVX7HuaaLRc3jy7HZktJX18hsk2S3MWdt6vYKiMweT"
176,true,"","Sphere",0,0,81,200.723876,"SPHERExTW7GaMgS4RN6MbghYvXU2REfFWHgpxMH1P69"
177,true,"","_McBlockin",0,0,81,200.721195,"CtBqxQ3fberuV2WxcNvba7C7QiQQe616rumT2F4mD4gn"
178,true,"","NO_NAME",0,0,80,200.129949,"9ueKvL3WiLM4mNUZrfWqPTYY2Np5YwzFTYvAiPibx1Zq"
179,true,"","TrippyHippy",0,0,79,200.724802,"2w98ie44eGKo8kdYshbs1Uv6rm7btQP7h8RxmowEsvLF"
